SampleID	Stage	Reads
F02_110SI_1100PR_042024_SI_IX_S437_L006	OutputDada2	2062474
F02_110SI_1100PR_042024_SI_IX_S437_L006	OutputPostprocessing	1944109
F03_110SI_1250PR_042024_SI_IX_S438_L006	Input	3125572
F03_110SI_1250PR_042024_SI_IX_S438_L006	No Dimers	3078595
F03_110SI_1250PR_042024_SI_IX_S438_L006	Amplicons	3065469
F03_110SI_1250PR_042024_SI_IX_S438_L006	OutputDada2	2642126
F03_110SI_1250PR_042024_SI_IX_S438_L006	OutputPostprocessing	2496515
F04_110SI_11000PR_042024_SI_IX_S439_L006	Input	3456499
F04_110SI_11000PR_042024_SI_IX_S439_L006	No Dimers	3426562
F04_110SI_11000PR_042024_SI_IX_S439_L006	Amplicons	3415186
F04_110SI_11000PR_042024_SI_IX_S439_L006	OutputDada2	2951437
F04_110SI_11000PR_042024_SI_IX_S439_L006	OutputPostprocessing	2764554
F05_110SI_12000PR_042024_SI_IX_S440_L006	Input	1681005
F05_110SI_12000PR_042024_SI_IX_S440_L006	No Dimers	1657745
F05_110SI_12000PR_042024_SI_IX_S440_L006	Amplicons	1651933
F05_110SI_12000PR_042024_SI_IX_S440_L006	OutputDada2	1435559
F05_110SI_12000PR_042024_SI_IX_S440_L006	OutputPostprocessing	1363571
F06_0SI_110PR_042024_SI_IX_S441_L006	Input	3322198
F06_0SI_110PR_042024_SI_IX_S441_L006	No Dimers	3310563
F06_0SI_110PR_042024_SI_IX_S441_L006	Amplicons	3299044
F06_0SI_110PR_042024_SI_IX_S441_L006	OutputDada2	2833087
F06_0SI_110PR_042024_SI_IX_S441_L006	OutputPostprocessing	2638941
F07_Neg_110SI_110PR_042024_SI_IX_S442_L006	Input	2689940
F07_Neg_110SI_110PR_042024_SI_IX_S442_L006	No Dimers	2668293
F07_Neg_110SI_110PR_042024_SI_IX_S442_L006	Amplicons	2650194
F07_Neg_110SI_110PR_042024_SI_IX_S442_L006	OutputDada2	76
F07_Neg_110SI_110PR_042024_SI_IX_S442_L006	OutputPostprocessing	76
F08_0SI_0PR_042024_SI_IX_S443_L006	Input	3274519
F08_0SI_0PR_042024_SI_IX_S443_L006	No Dimers	3252922
F08_0SI_0PR_042024_SI_IX_S443_L006	Amplicons	3241988
F08_0SI_0PR_042024_SI_IX_S443_L006	OutputDada2	2784583
F08_0SI_0PR_042024_SI_IX_S443_L006	OutputPostprocessing	2601715
